City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
251,nanortalik,60.1432,-45.2371,267.86,76,100,3.07,GL
252,boca do acre,-8.7522,-67.3978,300.3,84,81,0.53,BR
253,benevides,-1.3614,-48.2447,299.04,98,100,0.48,BR
254,acapulco,16.8634,-99.8901,303.05,66,0,4.63,MX
255,figeac,44.75,1.9167,274.36,95,5,1.76,FR
256,freeport,40.6576,-73.5832,277.02,47,0,5.66,US
257,hasaki,35.7333,140.8333,273.37,45,78,7.73,JP
258,gwanda,-20.9333,29.0,293.7,86,85,2.31,ZW
259,kailua,21.4022,-157.7394,301.14,76,20,3.09,US
260,chitipa,-9.7024,33.2697,289.86,95,69,1.1,MW
261,asyut,27.181,31.1837,284.69,53,33,4.09,EG
262,omboue,-1.5746,9.2618,298.99,88,100,1.43,GA
263,mandalgovi,45.7625,106.2708,260.43,63,100,1.46,MN
264,port macquarie,-31.4333,152.9167,299.76,85,34,3.44,AU
265,necochea,-38.5473,-58.7368,293.16,72,94,6.25,AR
266,klaksvik,62.2266,-6.589,272.66,64,81,1.75,FO
267,funtua,11.5233,7.3081,294.84,17,100,4.29,NG
268,beringovskiy,63.05,179.3167,268.35,97,100,3.45,RU
269,alofi,-19.0595,-169.9187,298.09,94,100,4.12,NU
270,haines junction,60.7522,-137.5108,260.58,92,100,0.96,CA
271,magangue,9.242,-74.7547,307.11,27,5,1.47,CO
272,xai-xai,-25.0519,33.6442,296.74,82,72,4.0,MZ
273,buala,-8.145,159.5921,301.27,76,100,2.55,SB
274,semibratovo,57.3046,39.5369,271.07,97,96,3.36,RU
275,verkhnyaya inta,65.9811,60.3094,269.23,88,91,8.09,RU
276,wanning,18.8003,110.3967,294.39,93,87,1.58,CN
277,asasa,7.1,39.2,286.53,47,13,0.59,ET
278,sechura,-5.5569,-80.8222,299.66,65,30,7.83,PE
279,chara,56.9064,118.2631,246.32,77,53,1.03,RU
280,warrnambool,-38.3833,142.4833,287.12,65,100,9.53,AU
281,bermeo,43.4209,-2.7215,281.87,80,20,2.13,ES
282,walvis bay,-22.9575,14.5053,290.98,84,85,5.29,NA
283,lagoa,39.05,-27.9833,286.82,70,43,2.35,PT
284,markova,48.6758,24.4138,274.5,68,89,4.84,UA
285,mabaruma,8.2,-59.7833,296.51,78,54,1.96,GY
286,coihaique,-45.5752,-72.0662,294.12,37,0,5.14,CL
287,vallenar,-28.5708,-70.7581,301.12,31,12,3.48,CL
288,souillac,-20.5167,57.5167,298.56,86,35,4.36,MU
289,isangel,-19.55,169.2667,301.75,73,6,1.78,VU
290,narsaq,60.9167,-46.05,267.27,93,100,1.9,GL
291,benjamin hill,30.1667,-111.1,286.36,49,80,5.63,MX
292,bullhead city,35.1478,-114.5683,291.33,17,0,11.32,US
293,saint george,37.1041,-113.5841,282.83,25,0,1.79,US
294,neyshabur,36.2133,58.7958,277.82,81,52,0.89,IR
295,havre-saint-pierre,50.2334,-63.5986,254.35,84,75,0.0,CA
296,yulara,-25.2406,130.9889,295.33,42,0,5.2,AU
297,yerofey pavlovich,53.9667,121.9667,243.5,96,29,1.67,RU
298,acarau,-2.8856,-40.12,299.51,80,100,6.01,BR
299,savannah bight,16.45,-85.85,299.49,75,48,10.06,HN
300,chuy,-33.6971,-53.4616,297.01,74,19,5.56,UY
301,ayan,56.45,138.1667,248.42,76,84,4.02,RU
302,grindavik,63.8424,-22.4338,273.41,74,100,8.75,IS
303,kalmunai,7.4167,81.8167,298.01,90,100,5.19,LK
304,mamallapuram,12.6264,80.1722,299.18,81,100,6.3,IN
305,blackwater,-23.5833,148.8833,300.56,67,40,1.77,AU
306,humboldt,40.6665,-123.9178,281.26,37,100,1.22,US
307,hukuntsi,-24.0,21.75,296.64,63,78,1.68,BW
308,chemodanovka,53.2316,45.2474,265.87,93,100,3.01,RU
309,luis correia,-2.8792,-41.6669,299.27,84,70,5.81,BR
310,puerto narino,-3.7703,-70.3831,298.2,94,97,0.9,CO
311,vysokogornyy,50.1167,139.15,246.13,100,99,1.05,RU
312,emilio carranza,19.9711,-96.6114,292.21,84,97,4.31,MX
313,mallaig,54.2169,-111.3685,251.88,81,100,4.89,CA
